OrderID,CustomerID,ProductName,Category,Price,OrderDate,Quantity,City,PaymentMethod,OrderStatus
1,26031,Product_499,Sports,428.81,2023-11-21,8,Dallas,Debit Card,Cancelled
2,14391,Product_482,Sports,120.06,2023-07-14,2,San Diego,Gift Card,Pending
3,17260,Product_403,Sports,124.43,2023-07-05,3,San Antonio,Debit Card,Shipped
4,87284,Product_69,Clothing,214.3,2023-08-08,10,Los Angeles,PayPal,Pending
5,31620,Product_195,Toys,220.03,2023-10-04,5,San Diego,Debit Card,Shipped
6,50673,Product_194,Clothing,194.3,2023-10-27,3,Philadelphia,Debit Card,Pending
7,51456,Product_175,Toys,496.22,2023-10-29,5,Philadelphia,Gift Card,Returned
8,59197,Product_275,Home,243.67,2023-04-11,3,Houston,Debit Card,Delivered
9,19483,Product_43,Sports,141.17,2023-04-25,8,Chicago,Debit Card,Pending
10,88988,Product_68,Books,492.01,2023-03-18,1,Los Angeles,Debit Card,Delivered
11,43209,Product_139,Toys,403.06,2023-04-29,6,San Jose,Gift Card,Delivered
12,98547,Product_260,Sports,283.6,2023-06-23,2,Dallas,Debit Card,Returned
13,54674,Product_235,Beauty,245.42,2023-10-29,4,Houston,Debit Card,Returned
14,64466,Product_159,Home,410.49,2023-03-16,10,Chicago,Credit Card,Pending
15,89958,Product_170,Sports,460.18,2023-02-12,5,San Jose,PayPal,Cancelled
16,83666,Product_437,Home,195.79,2023-10-26,6,Chicago,Credit Card,Returned
17,94428,Product_300,Toys,361.93,2023-01-28,9,Philadelphia,Gift Card,Cancelled
18,30433,Product_375,Beauty,96.97,2023-10-18,8,San Diego,PayPal,Returned
19,27650,Product_345,Sports,425.12,2023-01-19,1,New York,Debit Card,Returned
20,76884,Product_296,Books,435.19,2023-04-13,5,Phoenix,Debit Card,Delivered
21,38790,Product_233,Sports,314.43,2023-10-19,3,Los Angeles,Gift Card,Cancelled
22,68565,Product_253,Home,171.35,2023-12-15,9,San Jose,Credit Card,Shipped
23,54501,Product_381,Toys,115.45,2023-06-29,2,Dallas,Gift Card,Cancelled
24,44856,Product_470,Electronics,99.81,2023-02-17,4,Los Angeles,PayPal,Pending
25,42319,Product_432,Beauty,186.34,2023-05-09,5,Phoenix,Debit Card,Shipped
26,53495,Product_483,Books,205.49,2023-02-16,2,Phoenix,Credit Card,Shipped
27,37632,Product_384,Toys,189.59,2023-04-01,4,San Antonio,PayPal,Shipped
28,14603,Product_369,Clothing,460.39,2023-03-25,5,Dallas,Gift Card,Cancelled
29,68114,Product_186,Electronics,17.75,2023-07-06,4,San Diego,Gift Card,Shipped
30,95451,Product_84,Sports,466.49,2023-07-15,2,San Jose,Debit Card,Delivered
31,68497,Product_458,Home,32.61,2023-03-06,7,Los Angeles,PayPal,Returned
