"airline","origin_airport","destination_airport"
"UA","ORD","IAD"
"OO","ORD","MSP"
"EV","ORD","FSD"
"EV","ORD","IND"
"AA","ORD","LAS"
"MQ","ORD","PIA"
"MQ","ORD","ROC"
"MQ","ORD","TVC"
"OO","ORD","MBS"
"UA","ORD","DEN"
"MQ","ORD","DTW"
"NK","ORD","MCO"
"MQ","ORD","SYR"
"MQ","ORD","GRB"
"F9","ORD","PHX"
"MQ","ORD","RIC"
"MQ","ORD","FNT"
"MQ","ORD","IND"
"MQ","ORD","DTW"
"UA","ORD","STT"
"MQ","ORD","TUL"
"OO","ORD","SLC"
"EV","ORD","RIC"
"UA","ORD","TPA"
"AA","ORD","SNA"
"AA","ORD","SJU"
"AA","ORD","CLT"
"EV","ORD","JAN"
"OO","ORD","DFW"
"MQ","ORD","DSM"
"MQ","ORD","ELP"
"MQ","ORD","MSN"
"DL","ORD","MSP"
"NK","ORD","RSW"
"AA","ORD","BOS"
"AA","ORD","RDU"
"EV","ORD","PIA"
"OO","ORD","MSY"
"UA","ORD","SEA"
"UA","ORD","HNL"
"UA","ORD","SNA"
"AA","ORD","BOS"
"AA","ORD","CLT"
"AA","ORD","TPA"
"MQ","ORD","SYR"
"OO","ORD","MKE"
"AA","ORD","FLL"
"AA","ORD","PBI"
"AA","ORD","RSW"
"EV","ORD","PNS"
"UA","ORD","MIA"
"NK","ORD","LAS"
"OO","ORD","DCA"
"MQ","ORD","MEM"
"UA","ORD","SFO"
"UA","ORD","EWR"
"OO","ORD","MKE"
"UA","ORD","SLC"
"AA","ORD","TUS"
"MQ","ORD","BNA"
"AA","ORD","MIA"
"AA","ORD","LGA"
"MQ","ORD","FSD"
"OO","ORD","BNA"
"UA","ORD","RSW"
"UA","ORD","CLE"
"AA","ORD","SJC"
"AA","ORD","AUS"
"MQ","ORD","SDF"
"NK","ORD","TPA"
"EV","ORD","MLI"
"UA","ORD","JAC"
"UA","ORD","PDX"
"UA","ORD","SJU"
"OO","ORD","CMX"
"B6","ORD","JFK"
"OO","ORD","MKE"
"AA","ORD","MIA"
"AA","ORD","DCA"
"AA","ORD","LGA"
"AS","ORD","SEA"
"EV","ORD","TYS"
"MQ","ORD","BUF"
"MQ","ORD","BMI"
"MQ","ORD","CMH"
"UA","ORD","LAS"
"VX","ORD","LAX"
"AS","ORD","ANC"
"B6","ORD","BOS"
"AA","ORD","DEN"
"MQ","ORD","FAR"
"F9","ORD","LAS"
"NK","ORD","SAN"
"EV","ORD","SDF"
"OO","ORD","MKE"
"MQ","ORD","RST"
"AA","ORD","DFW"
"MQ","ORD","BNA"
"MQ","ORD","CMI"
"AA","ORD","LAX"
"EV","ORD","MSN"
"UA","ORD","MCO"
"EV","ORD","OMA"
"OO","ORD","TUS"
"AA","ORD","LAX"
"MQ","ORD","BWI"
"AA","ORD","FLL"
"OO","ORD","CHO"
"MQ","ORD","DAY"
"AA","ORD","MCI"
"UA","ORD","SFO"
"UA","ORD","PHX"
"EV","ORD","OKC"
"AA","ORD","PHL"
"MQ","ORD","DBQ"
"MQ","ORD","ABQ"
"UA","ORD","LGA"
"MQ","ORD","CMH"
"AA","ORD","SAN"
"AA","ORD","DCA"
"UA","ORD","DEN"
"MQ","ORD","GRB"
"MQ","ORD","FWA"
"MQ","ORD","HPN"
"OO","ORD","SPI"
"OO","ORD","MSP"
"OO","ORD","GJT"
"EV","ORD","DSM"
"UA","ORD","OGG"
"MQ","ORD","SGF"
"UA","ORD","SFO"
"MQ","ORD","IND"
"OO","ORD","MKE"
"OO","ORD","CVG"
"UA","ORD","IAH"
"VX","ORD","SFO"
"MQ","ORD","LSE"
"MQ","ORD","JAX"
"AA","ORD","LGA"
"EV","ORD","GRB"
"NK","ORD","MSP"
"AA","ORD","MCO"
"AA","ORD","SFO"
"AA","ORD","SLC"
"AA","ORD","DFW"
"AA","ORD","DFW"
"MQ","ORD","MDT"
"EV","ORD","PHL"
"UA","ORD","SAN"
"OO","ORD","SAT"
"NK","ORD","DFW"
"F9","ORD","MCO"
"AA","ORD","PHX"
"MQ","ORD","OMA"
"EV","ORD","AVP"
"MQ","ORD","CVG"
"UA","ORD","TPA"
"UA","ORD","LAX"
"NK","ORD","MSY"
"MQ","ORD","MLI"
"MQ","ORD","GRR"
"MQ","ORD","PIT"
"MQ","ORD","PIA"
"MQ","ORD","BWI"
"UA","ORD","IAH"
"UA","ORD","LAX"
"MQ","ORD","SAT"
"MQ","ORD","LIT"
"AA","ORD","DFW"
"MQ","ORD","IND"
"AA","ORD","SEA"
"MQ","ORD","ASE"
"MQ","ORD","TOL"
"AA","ORD","STL"
"UA","ORD","LGA"
"MQ","ORD","EVV"
"EV","ORD","BTV"
"OO","ORD","ICT"
"AA","ORD","PHX"
"UA","ORD","FLL"
"UA","ORD","MCO"
"DL","ORD","ATL"
"UA","ORD","SRQ"
"MQ","ORD","CMI"
