"airline","origin_airport","stopover_airport","destination_airport","origin_departure_delay","stopover_arrival_delay","stopover_departure_delay","destination_arrival_delay"
"DL","SFO","LAX","JFK","0.0","11.0","13.0","-10.0"
"AS","SFO","SEA","JFK","-16.0","-4.0","-2.0","-21.0"
"AA","SFO","LAX","JFK","-6.0","19.0","33.0","3.0"
"AA","SFO","LAX","JFK","-6.0","19.0","-2.0","-40.0"
"AA","SFO","DFW","JFK","-2.0","-17.0","387.0","363.0"
"AA","SFO","DFW","JFK","-2.0","-17.0","-1.0","-10.0"
"AA","SFO","LAX","JFK","-8.0","-17.0","-5.0","-43.0"
"AA","SFO","LAX","JFK","-8.0","-17.0","-4.0","-8.0"
"AA","SFO","LAX","JFK","-6.0","-18.0","-5.0","-18.0"
"DL","SFO","DTW","JFK","1.0","11.0","55.0","35.0"
"AA","SFO","CLT","JFK","-1.0","-2.0","-1.0","0.0"
"AA","SFO","MIA","JFK","2.0","-8.0","2.0","-17.0"
"AA","SFO","CLT","JFK","9.0","-13.0","35.0","31.0"
"AA","SFO","PHX","JFK","-3.0","-14.0","6.0","-15.0"
"AA","SFO","LAX","JFK","-2.0","-13.0","22.0","-5.0"
"AA","SFO","LAX","JFK","-8.0","2.0","19.0","16.0"
"VX","SFO","LAX","JFK","10.0","20.0","23.0","36.0"
"DL","SFO","ATL","JFK","-2.0","-8.0","10.0","-6.0"
"AA","SFO","CLT","JFK","1.0","-6.0","8.0","9.0"
"AA","SFO","ORD","JFK","1.0","-8.0","11.0","24.0"
"DL","SFO","LAX","JFK","-3.0","-11.0","7.0","-23.0"
"DL","SFO","LAX","JFK","-3.0","-11.0","-3.0","-6.0"
"VX","SFO","LAX","JFK","-8.0","-15.0","6.0","7.0"
"AA","SFO","PHX","JFK","0.0","-12.0","0.0","4.0"
"AS","SFO","SEA","JFK","-8.0","-11.0","8.0","-11.0"
"B6","SFO","BOS","JFK","28.0","35.0","0.0","4.0"
"AS","SFO","SEA","JFK","-8.0","-10.0","6.0","-45.0"
"B6","SFO","FLL","JFK","13.0","25.0","-5.0","-19.0"
"AA","SFO","MIA","JFK","-1.0","0.0","2.0","-10.0"
"AA","SFO","ORD","JFK","3.0","-1.0","-4.0","-20.0"
"AA","SFO","LAX","JFK","14.0","2.0","-3.0","-10.0"
"AA","SFO","LAX","JFK","14.0","2.0","22.0","23.0"
"AA","SFO","LAX","JFK","-8.0","-16.0","-6.0","-2.0"
"AA","SFO","DFW","JFK","-7.0","-17.0","4.0","-4.0"
"AA","SFO","MIA","JFK","-6.0","-12.0","14.0","-12.0"
"DL","SFO","LAX","JFK","11.0","7.0","40.0","32.0"
"AA","SFO","MIA","JFK","539.0","534.0","0.0","-7.0"
"VX","SFO","LAX","JFK","3.0","5.0","-1.0","-15.0"
"AA","SFO","MIA","JFK","0.0","-16.0","-6.0","15.0"
"AA","SFO","PHX","JFK","-6.0","-14.0","-1.0","-30.0"
"VX","SFO","LAX","JFK","29.0","49.0","21.0","15.0"
"DL","SFO","LAX","JFK","91.0","86.0","0.0","-9.0"
"AA","SFO","LAX","JFK","4.0","21.0","-5.0","-7.0"
"VX","SFO","LAX","JFK","13.0","11.0","35.0","11.0"
"B6","SFO","BOS","JFK","-7.0","-12.0","0.0","13.0"
"AA","SFO","MIA","JFK","0.0","-21.0","36.0","27.0"
"B6","SFO","FLL","JFK","1.0","-1.0","-7.0","-21.0"
"DL","SFO","ATL","JFK","-2.0","-11.0","-2.0","-25.0"
"DL","SFO","ATL","JFK","0.0","-19.0","-1.0","-25.0"
"AA","SFO","LAX","JFK","-2.0","-9.0","17.0","4.0"
"AA","SFO","LAX","JFK","-2.0","-9.0","-6.0","13.0"
"AA","SFO","LAX","JFK","-5.0","-9.0","-4.0","-9.0"
"AA","SFO","MIA","JFK","-7.0","-12.0","21.0","24.0"
"DL","SFO","ATL","JFK","2.0","-10.0","-1.0","-24.0"
"VX","SFO","LAX","JFK","11.0","2.0","10.0","21.0"
"DL","SFO","LAX","JFK","43.0","28.0","-3.0","-5.0"
"DL","SFO","LAX","JFK","43.0","28.0","-6.0","3.0"
"AA","SFO","CLT","JFK","-10.0","-14.0","3.0","-7.0"
"B6","SFO","FLL","JFK","2.0","18.0","7.0","18.0"
"AA","SFO","LAX","JFK","0.0","-16.0","10.0","0.0"
"AA","SFO","LAX","JFK","0.0","-16.0","-5.0","0.0"
"AA","SFO","LAX","JFK","-4.0","-13.0","-3.0","-11.0"
"AA","SFO","LAX","JFK","-4.0","-13.0","7.0","-4.0"
"DL","SFO","LAX","JFK","-2.0","-13.0","-1.0","-11.0"
"AA","SFO","CLT","JFK","35.0","36.0","3.0","0.0"
"DL","SFO","ATL","JFK","-1.0","-7.0","351.0","324.0"
"DL","SFO","LAX","JFK","28.0","12.0","-1.0","-26.0"
"VX","SFO","LAS","JFK","9.0","10.0","0.0","-17.0"
"AA","SFO","CLT","JFK","-1.0","-3.0","6.0","2.0"
"DL","SFO","ATL","JFK","1.0","-16.0","11.0","-3.0"
"VX","SFO","LAX","JFK","-1.0","-10.0","14.0","-9.0"
"AA","SFO","LAX","JFK","96.0","99.0","-5.0","2.0"
"DL","SFO","LAX","JFK","374.0","352.0","-3.0","-36.0"
"AA","SFO","MIA","JFK","-2.0","-16.0","1.0","4.0"
"AA","SFO","CLT","JFK","-2.0","-19.0","-1.0","-5.0"
"AA","SFO","LAX","JFK","-2.0","-12.0","3.0","-36.0"
"AA","SFO","LAX","JFK","-2.0","-12.0","-4.0","-19.0"
"AA","SFO","ORD","JFK","6.0","-17.0","95.0","69.0"
"DL","SFO","LAX","JFK","79.0","72.0","42.0","2.0"
"B6","SFO","LAS","JFK","98.0","87.0","17.0","25.0"
"AA","SFO","LAX","JFK","100.0","79.0","-1.0","-5.0"
"DL","SFO","ATL","JFK","-1.0","-22.0","9.0","-20.0"
"AA","SFO","ORD","JFK","-5.0","-26.0","-7.0","-1.0"
"AS","SFO","SEA","JFK","-15.0","-10.0","-9.0","-16.0"
"VX","SFO","LAX","JFK","-4.0","0.0","-2.0","1.0"
"VX","SFO","LAX","JFK","-7.0","-4.0","-2.0","1.0"
"DL","SFO","ATL","JFK","16.0","9.0","-3.0","-17.0"
"AA","SFO","MIA","JFK","43.0","39.0","113.0","97.0"
"AA","SFO","PHX","JFK","-6.0","-13.0","-7.0","-7.0"
"AS","SFO","SEA","JFK","-16.0","-26.0","0.0","-23.0"
"AA","SFO","LAX","JFK","-3.0","-19.0","13.0","8.0"
"AA","SFO","LAX","JFK","-3.0","-19.0","-10.0","-13.0"
"AA","SFO","LAX","JFK","77.0","63.0","-5.0","-7.0"
"AA","SFO","PHX","JFK","18.0","8.0","-1.0","6.0"
"DL","SFO","LAX","JFK","58.0","60.0","-1.0","-2.0"
"B6","SFO","BOS","JFK","5.0","18.0","-6.0","-13.0"
"B6","SFO","BOS","JFK","5.0","18.0","2.0","1.0"
"AA","SFO","PHX","JFK","-7.0","-8.0","-1.0","3.0"
"VX","SFO","LAX","JFK","-5.0","-1.0","-5.0","1.0"
"DL","SFO","LAX","JFK","-3.0","-8.0","-1.0","4.0"
"AS","SFO","SEA","JFK","30.0","38.0","27.0","-6.0"
"DL","SFO","ATL","JFK","20.0","9.0","-1.0","-12.0"
"DL","SFO","ATL","JFK","74.0","56.0","3.0","7.0"
"VX","SFO","LAX","JFK","-5.0","-12.0","-4.0","-53.0"
"DL","SFO","ATL","JFK","2.0","-27.0","0.0","-2.0"
"DL","SFO","ATL","JFK","0.0","-10.0","-2.0","14.0"
"B6","SFO","BOS","JFK","-2.0","-4.0","-2.0","-8.0"
"AA","SFO","DFW","JFK","-2.0","-15.0","387.0","363.0"
"AA","SFO","DFW","JFK","-1.0","-10.0","3.0","-17.0"
"VX","SFO","LAX","JFK","0.0","-3.0","21.0","6.0"
"AA","SFO","LAX","JFK","-3.0","-11.0","55.0","36.0"
"AS","SFO","SEA","JFK","9.0","8.0","0.0","-27.0"
"AA","SFO","LAX","JFK","-5.0","-4.0","0.0","-14.0"
"AA","SFO","LAX","JFK","-5.0","-4.0","-3.0","-4.0"
"DL","SFO","SLC","JFK","143.0","134.0","19.0","-12.0"
"VX","SFO","LAX","JFK","11.0","9.0","4.0","-21.0"
"VX","SFO","LAX","JFK","11.0","9.0","36.0","26.0"
"VX","SFO","LAX","JFK","-3.0","-1.0","15.0","9.0"
"DL","SFO","LAX","JFK","25.0","36.0","36.0","16.0"
"AS","SFO","SEA","JFK","-7.0","-11.0","6.0","-31.0"
"DL","SFO","LAX","JFK","2.0","-12.0","29.0","0.0"
"AA","SFO","ORD","JFK","-5.0","-29.0","0.0","-16.0"
"VX","SFO","LAX","JFK","24.0","39.0","20.0","2.0"
"DL","SFO","LAX","JFK","66.0","81.0","26.0","-2.0"
"B6","SFO","LAS","JFK","-1.0","5.0","-1.0","-9.0"
"AA","SFO","MIA","JFK","-2.0","-6.0","12.0","-11.0"
